f  0 2 1
​f  3 5 4
​f  2 6 1
​f  3 6 2
​f  6 3 4
​f  7 5 8
​f  4 5 7
​f  4 9 6
​f  4 10 9
​f  10 4 7
​f  9 10 11
​f  12 14 13
​f  0 15 16
​f  15 0 1
​f  14 17 13
​f  16 17 14
​f  17 16 15
​f  12 18 19
​f  18 12 13
​f  19 20 21
​f  20 19 18
​f  13 22 18
​f  22 13 17
​f  18 23 20
​f  23 18 22
​f  1 24 15
​f  1 25 24
​f  25 1 6
​f  17 24 26
​f  24 17 15
​f  24 25 27
​f  24 28 26
​f  28 24 27
​f  9 25 6
​f  25 29 27
​f  9 29 25
​f  29 9 11
​f  30 27 29
​f  27 31 28
​f  31 27 30
​f  22 26 32
​f  26 22 17
​f  23 32 33
​f  32 23 22
​f  26 34 32
​f  34 26 28
​f  32 35 33
​f  35 32 34
​f  34 31 36
​f  31 34 28
​f  35 36 37
​f  36 35 34
​f  31 30 38
​f  31 39 36
​f  39 31 38
​f  36 40 37
​f  40 36 39
​f  41 43 42
​f  44 43 45
​f  42 43 44
​f  8 46 7
​f  41 46 8
​f  41 47 46
​f  47 41 42
​f  46 10 7
​f  46 47 48
​f  10 49 11
​f  46 49 10
​f  49 46 48
​f  47 44 50
​f  47 42 44
​f  51 47 50
​f  48 47 51
​f  53 51 52
​f  49 51 53
​f  49 48 51
​f  53 52 54
​f  55 57 56
​f  44 58 59
​f  58 55 56
​f  45 58 44
​f  45 55 58
​f  59 58 60
​f  61 57 62
​f  56 57 61
​f  56 63 58
​f  63 56 61
​f  64 58 63
​f  60 58 64
​f  59 50 44
​f  50 65 51
​f  59 65 50
​f  65 59 60
​f  51 66 52
​f  66 51 65
​f  67 60 64
​f  60 68 65
​f  68 60 67
​f  68 66 65
​f  69 52 66
​f  54 52 69
​f  68 67 70
​f  71 68 70
​f  66 72 69
​f  66 71 72
​f  66 68 71
​f  72 71 73
​f  29 74 75
​f  29 49 74
​f  29 11 49
​f  75 30 29
​f  53 74 49
​f  75 74 76
​f  30 77 38
​f  75 77 30
​f  77 75 76
​f  74 78 76
​f  74 79 78
​f  53 79 74
​f  79 53 54
​f  77 78 80
​f  78 77 76
​f  78 79 81
​f  78 82 80
​f  82 78 81
​f  39 83 84
​f  39 77 83
​f  39 38 77
​f  40 84 85
​f  84 40 39
​f  84 83 86
​f  84 87 85
​f  87 84 86
​f  80 83 77
​f  83 88 86
​f  83 89 88
​f  80 89 83
​f  89 80 82
​f  87 88 90
​f  88 87 86
​f  54 91 79
​f  91 54 69
​f  92 79 91
​f  81 79 92
​f  93 81 92
​f  82 93 94
​f  82 81 93
​f  72 91 69
​f  91 95 92
​f  96 72 73
​f  72 95 91
​f  95 72 96
​f  95 93 92
​f  94 89 82
​f  97 99 98
​f  99 97 100
​f  101 98 102
​f  98 101 97
​f  103 100 97
​f  100 103 104
​f  105 97 101
​f  97 105 103
​f  106 102 107
​f  102 106 101
​f  107 108 106
​f  109 101 106
​f  101 109 105
​f  110 108 111
​f  110 106 108
​f  106 110 109
​f  88 89 112
​f  88 113 90
​f  113 88 112
​f  94 93 114
​f  95 96 115
​f  93 116 114
​f  117 95 115
​f  95 116 93
​f  116 95 117
​f  116 117 118
​f  112 119 120
​f  89 119 112
​f  94 119 89
​f  119 94 114
​f  113 120 121
​f  120 113 112
​f  120 119 122
​f  120 123 121
​f  123 120 122
​f  116 119 114
​f  124 116 118
​f  124 119 116
​f  119 125 122
​f  119 124 125
​f  122 126 123
​f  125 126 122
​f  127 111 128
​f  111 127 110
​f  129 128 130
​f  128 129 127
​f  125 124 131
​f  125 132 126
​f  132 125 131
​f  133 130 134
​f  130 133 129
​f  134 135 133
​f  136 138 137
​f  139 138 136
​f  21 138 139
​f  138 21 20
​f  141 137 140
​f  141 136 137
​f  137 143 142
​f  138 143 137
​f  20 143 138
​f  143 20 23
​f  140 142 144
​f  140 137 142
​f  145 141 140
​f  147 144 146
​f  145 144 147
​f  145 140 144
​f  149 146 148
​f  149 147 146
​f  143 150 142
​f  143 151 150
​f  143 33 151
​f  33 143 23
​f  142 152 144
​f  150 152 142
​f  150 154 153
​f  151 154 150
​f  33 154 151
​f  154 33 35
​f  152 153 155
​f  152 150 153
​f  154 156 153
​f  154 157 156
​f  154 37 157
​f  37 154 35
​f  153 158 155
​f  156 158 153
​f  144 159 146
​f  152 159 144
​f  146 160 148
​f  146 161 160
​f  159 161 146
​f  159 155 162
​f  159 152 155
​f  161 159 162
​f  161 163 160
​f  155 164 162
​f  158 164 155
​f  164 161 162
​f  163 166 165
​f  163 164 166
​f  164 163 161
​f  156 168 167
​f  157 168 156
​f  37 168 157
​f  168 37 40
​f  158 167 169
​f  158 156 167
​f  164 169 170
​f  164 158 169
​f  166 164 170
​f  171 149 148
​f  160 171 148
​f  160 172 171
​f  172 160 173
​f  174 172 173
​f  160 175 173
​f  163 175 160
​f  176 178 177
​f  176 175 178
​f  174 175 176
​f  175 174 173
​f  175 165 179
​f  175 163 165
​f  178 175 179
​f  180 176 177
​f  166 181 165
​f  168 182 167
​f  168 183 182
​f  168 85 183
​f  85 168 40
​f  167 184 169
​f  182 184 167
​f  182 186 185
​f  183 186 182
​f  85 186 183
​f  186 85 87
​f  184 185 187
​f  184 182 185
